OBJECTID,POI_ID,SUM_LENGTHKM,MIN_HYDROSEQ,MAX_STARTFLAG,MAX_SO,SUM_TRAV_TIME,MAX_CUMDRAINAG,TOCOMID2,To_POI_ID,PROD_UNIT,tosegment_orig,tosegment_comment,seg_id,tosegment,region,headwaterArea,FTYPE,TOFTYPE,regionOutlet,ToRegion,ToRegionToSegment,seg_id_nat,seg_id_reg,Shape_Length
1,388800,46.867,705900644,0,6,20.39452914,30749.5485,388854,389006,11b,108,,107,108,11,2,StreamRiver,StreamRiver,0,,,33736,107,46866.95863
2,389006,31.566,705900562,0,6,17.98635029,31323.2931,389066,390142,11b,116,,108,116,11,2,StreamRiver,StreamRiver,0,,,33737,108,31566.31994
3,389084,31.065,705900517,0,4,23.77303109,437.9355,389066,390142,11b,116,,109,116,11,2,StreamRiver,StreamRiver,0,,,33738,109,31063.58147
4,389182,20.837,705900373,1,4,22.00312338,224.1477,389190,390146,11b,117,,110,117,11,2,StreamRiver,StreamRiver,0,,,33739,110,20839.07141
5,389614,23.83,705900557,1,2,22.06836908,131.8383,389044,389084,11b,109,,111,109,11,2,StreamRiver,StreamRiver,0,,,33740,111,23829.96892
6,390116,15.924,705900296,0,6,6.656524906,32423.9445,389820,389844,11b,112,,114,112,11,2,StreamRiver,StreamRiver,0,,,33743,114,15907.94146
7,390142,23.883,705900496,0,6,9.903105821,31937.6961,389818,390116,11b,114,,116,114,11,2,StreamRiver,StreamRiver,0,,,33745,116,23881.7939
8,390146,10.956,705900317,0,4,9.599208179,340.6122,389818,390116,11b,114,,117,114,11,2,Connector,StreamRiver,0,,,33746,117,10955.93754
9,912209,13.265,748300282,1,1,23.54599289,22.9914,911779,912577,11d,662,,660,662,11,2,StreamRiver,StreamRiver,0,,,34289,660,13265.11806
10,912213,15.674,748300180,1,1,26.54651149,29.8566,911827,912615,11d,663,,661,663,11,2,StreamRiver,StreamRiver,0,,,34290,661,15674.11209
11,912577,31.317,748300245,0,3,22.85907096,233.82,912583,913761,11d,667,,662,667,11,2,StreamRiver,StreamRiver,0,,,34291,662,31316.07048
12,912615,29.42,748300174,0,2,23.56379676,72.4833,912631,912657,11d,664,,663,664,11,2,StreamRiver,StreamRiver,0,,,34292,663,29420.13193
13,912657,17.562,748300129,0,4,12.59110795,360.6093,913769,912699,11d,666,,664,666,11,2,StreamRiver,StreamRiver,0,,,34293,664,17561.61722
14,912697,31.418,748300181,0,4,19.57714108,909.7506,912701,914163,11d,669,,665,669,11,2,StreamRiver,StreamRiver,0,,,34294,665,31418.56814
15,912699,30.544,748300123,0,4,18.79689638,445.8033,912701,914163,11d,669,,666,669,11,2,StreamRiver,StreamRiver,0,,,34295,666,30544.18042
16,913761,36.211,748300229,0,3,23.70570218,357.2874,912649,912697,11d,665,,667,665,11,2,StreamRiver,StreamRiver,0,,,34296,667,36210.60073
17,914145,35.192,748300089,1,3,23.29743209,578.3571,914157,914165,11d,670,,668,670,11,2,StreamRiver,StreamRiver,0,,,34297,668,35191.69514
18,914163,36.258,748300113,0,5,19.0605045,1514.4282,914173,914231,11d,671,,669,671,11,2,StreamRiver,StreamRiver,0,,,34298,669,36257.62487
19,914165,12.914,748300032,0,4,7.489605474,1207.7091,914173,914231,11d,671,,670,671,11,2,StreamRiver,StreamRiver,0,,,34299,670,12914.81507
20,914231,46.82,748300003,0,5,21.90721805,3641.607,914253,914699,11d,672,,671,672,11,2,StreamRiver,StreamRiver,0,,,34300,671,46820.11979
21,914699,8.795,748300001,0,5,4.056244749,3657.7665,1594255,1594255,11d,1131,,672,1131,11,2,ArtificialPath,ArtificialPath,0,,,34301,672,8795.373587
