State,Site_no.,Segment,Site_name
CO,07103700,34661,FOUNTAIN CREEK NEAR COLORADO SPRINGS
CO,07104000,34655,MONUMENT CREEK AT PIKEVIEW
CO,07105500,34668,FOUNTAIN CREEK AT COLORADO SPRINGS
CO,07105800,34675,FOUNTAIN CREEK AT SECURITY
CO,07105900,34682,JIMMY CAMP CREEK AT FOUNTAIN
CO,07106500,34695,FOUNTAIN CREEK AT PUEBLO
CO,07108900,34442,ST. CHARLES RIVER AT VINELAND
CO,07109500,34445,ARKANSAS RIVER NEAR AVONDALE
CO,07116500,34627,HUERFANO RIVER NEAR BOONE
CO,07119500,34477,APISHAPA RIVER NEAR FOWLER
CO,07121500,34457,TIMPAS CREEK AT MOUTH NEAR SWINK
CO,07124000,34762,ARKANSAS RIVER AT LAS ANIMAS
CO,07124200,34382,PURGATOIRE RIVER AT MADRID
CO,07128500,34356,PURGATOIRE RIVER NEAR LAS ANIMAS
CO,07130500,34768,ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR
CO,07133000,34765,ARKANSAS RIVER AT LAMAR
KS,07137500,37513,ARKANSAS R NR COOLIDGE
KS,07138000,37530,ARKANSAS R AT SYRACUSE
KS,07141200,37494,PAWNEE R AT ROZEL
KS,07141300,37684,ARKANSAS R AT GREAT BEND
OK,07156900,37203,Cimarron River near Forgan
KS,07157500,37198,CROOKED C NR ENGLEWOOD
OK,07158000,37137,Cimarron River near Waynoka
OK,07234000,36231,Beaver River at Beaver
TX,07235000,36166,Wolf Ck at Lipscomb
OK,07237500,33737,North Canadian River at Woodward
OK,07238000,33743,North Canadian River near Seiling
KS,07138020,37529,ARKANSAS R AT KENDALL
